,mu,variance,a,b
LZIC,52.9745566345199,171.634852951715,16.350430010933948,0.3086468495383214
NMNAT1,52.6963528836009,147.014726441664,18.888622075114903,0.35844268230170134
RBP7,40.9107910452877,95.9008569310229,17.452323967814,0.4265946348603846
UBE4B,56.837526208058904,123.11917392306601,26.238840649389356,0.4616464227056559
KIF1B,72.9619664908591,267.587908215428,19.89420444935605,0.27266540920122345
PGD,136.337182258963,752.418383542691,24.70411100110907,0.18119863262382324
APITD1,28.710627749212303,47.562364937274516,17.330932699434328,0.6036417193946522
APITD1-CORT,28.8655729017572,48.498572004135795,17.180326440861087,0.5951839757116073
CORT,0.0686694312256512,0.255621566907453,0.01844715546463131,0.26863707963464895
PEX14,38.5495426761893,86.7739203631238,17.125735870000774,0.4442526339120163
DFFA,32.1546522826012,69.13585552246771,14.954926869733864,0.4650937207561077
CASZ1,57.74978969430259,224.04649867973393,14.885473459254946,0.2577580548440248
C1orf127,0.148791509523267,0.005455872459634801,4.057813570607984,27.27180861064825
TARDBP,63.381470762791906,168.77286691192302,23.802468427292254,0.3755430118744656
MASP2,1.17564402473437,2.9230808645845805,0.4728363452545312,0.4021934661398597
SRM,25.3144406873435,25.4988587295159,25.131356430915766,0.9927675962234761
EXOSC10,64.05986105841741,184.58638373703005,22.23168207612761,0.34704543077066796
MTOR,49.603030018997,126.92773699940099,19.38473532445575,0.39079740324395046
ANGPTL7,0.013180658297604302,0.00010000000000000002,1.737297531582051,131.806582976043
UBIAD1,27.4729161680451,44.396695504262695,17.000389650710968,0.618805428106858
PTCHD2,5.51387633400539,4.32257927337932,7.033493269618233,1.2755986611888632
FBXO2,18.4971972187381,28.7106850384791,11.917037315213333,0.6442617859499865
FBXO44,17.7762552737872,24.3952445458392,12.953149576553136,0.7286770682042242
FBXO6,38.6857334098607,87.4526941483517,17.11309164380981,0.44236182528848766
MAD2L2,57.15353463895699,131.59679318498496,24.822234969926026,0.43430795884681284
DRAXIN,0.643178292479111,9.999999999999999e-05,4136.783159163448,6431.7829247911095
AGTRAP,70.8211189181797,224.011206643543,22.390089138728026,0.3161498925849435
MTHFR,117.064421197819,584.128502990436,23.46072591942111,0.2004086782249277
CLCN6,112.65906049907798,486.26532821018293,26.10110813216135,0.23168228118123677
NPPA,0.0009999999999999998,9.999999999999999e-05,0.009999999999999998,10.0
NPPB,0.001,0.269285697830331,3.713528078383392e-06,0.0037135280783833925
KIAA2013,66.99731918345618,297.24977827428995,15.100568968727615,0.2253906447715961
PLOD1,32.8734531204993,69.3078968865721,15.59221919306335,0.47431035419094203
MFN2,41.8399706321902,108.42058558439498,16.14622475120168,0.3859043041196435
MIIP,36.3036398046301,66.1235893988143,19.931680585506086,0.5490270587954664
TNFRSF8,6.61417242904306,8.36259400066244,5.2313046547097635,0.7909235374238089
TNFRSF1B,97.45909375151089,499.06696357412187,19.032065129783124,0.1952825990595472
VPS13D,65.50565798347121,164.56731963905202,26.07438243060044,0.3980477905768032
DHRS3,93.06042793088889,1056.0685187958497,8.200455834584243,0.08811968757197519
AADACL4,0.001,0.760546117495713,1.314844658326241e-06,0.001314844658326241
AADACL3,0.0009999999999999998,0.7382039407940407,1.3546392056974945e-06,0.0013546392056974948
C1orf158,0.05619031151623591,0.00010000000000000002,31.57351108291633,561.903115162359
PRAMEF12,0.0044856600102058004,0.0065546064902801005,0.0030697717333599463,0.6843522974045254
PRAMEF1,0.0577991809868029,0.007024893892436499,0.47555811858483477,8.227765696081704
HNRNPCL1,0.0547619411887936,0.260692118029512,0.011503493950766084,0.21006366284765926
PRAMEF2,0.0830012411521739,0.0001,68.89206032801326,830.012411521739
PRAMEF4,0.001,0.015733345648779203,6.3559272282154e-05,0.063559272282154
PRAMEF10,0.250709816932511,1.0115590341868,0.062137166672494915,0.24784496846895201
PRAMEF8,0.0948388058693674,4.155087981412289,0.002164671154729776,0.022824740725979103
PRAMEF6,0.09554110794557331,0.0075688206849247016,1.206013946881938,12.622984732069103
PRAMEF5,0.292098161235061,0.0001,853.2133579690369,2920.98161235061
PRAMEF9,0.009544503323653999,0.007108684992661598,0.012814964200732425,1.3426538570082838
PRAMEF3,0.028847582444956502,0.0645970159308698,0.012882685073396346,0.44657763256167277
PRAMEF19,0.025094629732162,0.8330262099717249,0.000755967139876288,0.030124658062096
PRAMEF20,0.030773729036003398,5.473901949970139,0.00017300682537554858,0.005621899938520323
LRRC38,0.0009999999999999998,0.0036120507768651997,0.00027685103609420255,0.2768510360942026
PDPN,0.0009999999999999998,0.018402962932508298,5.433907592312371e-05,0.05433907592312372
PRDM2,144.447188930739,890.20481222318,23.43841563593078,0.16226287136102918
KAZN,21.949331596852403,49.147084405614805,9.80268032936544,0.4466049586116405
TMEM51,12.8274779620564,7.330776099759581,22.445671321545206,1.7498117235468547
FHAD1,2.6302389756188,8.84597218117257,0.7820685988125279,0.29733746859580906
EFHD2,151.928382381653,1315.69290252053,17.543784973595383,0.11547404572191368
CTRC,0.0111817490748223,0.0275235907926994,0.004542703505294587,0.40626054787111016
CELA2A,0.200743724914301,226.02938738625298,0.0001782867420845802,0.00088813108434992
CELA2B,0.0029705757741326,0.0042547331940366,0.0020740008896989338,0.6981814460883552
CASP9,77.6558656710241,286.537771503728,21.04585877620564,0.271014412038916
DNAJC16,78.0771233112237,298.654255874592,20.411686974639395,0.2614298031098846
AGMAT,6.264026259997039,3.1213797449344898,12.570730956273316,2.006813259476862
DDI2,55.891926526561,197.98911076976103,15.778178096285533,0.2822979824964061
RSC1A1,0.0791133769332808,0.370766171310817,0.01688106114875417,0.21337808854993748
PLEKHM2,65.82345871916698,298.2374897883859,14.527776909697577,0.22070819723527027
SLC25A34,0.377266529529138,0.0391214046330447,3.638162679433497,9.643481185500994
TMEM82,0.918446637281337,1.23107213394199,0.6852110467583249,0.7460542822461576
FBLIM1,3.7453232462868,7.7720532802583895,1.804857186814079,0.48189623915731605
UQCRHL,0.009148251072963302,0.00010000000000000002,0.8369049769397418,91.48251072963299
SPEN,163.999393260218,832.345165552814,32.31327831628169,0.1970329138048101
ZBTB17,54.2850003083078,136.369548114501,21.60937906752234,0.39807274467704534
C1orf64,0.23452468499107504,0.013605657797360404,4.042570281374689,17.237291168426605
HSPB7,0.0009999999999998,0.816462668194736,1.224795742603492e-06,0.0012247957426037368
CLCNKA,0.001,0.021936777372697898,4.558554718454594e-05,0.045585547184545945
CLCNKB,0.6708891915037,0.0001,4500.923072764882,6708.891915036999
FAM131C,1.0821615896788903,0.761703265211746,1.5374408377398718,1.4207128144291987
EPHA2,12.337299755835001,19.336449151842203,7.871608901411213,0.6380333668790278
ARHGEF19,30.987103648638502,42.537626828888605,22.57297042907349,0.7284633854466515
RSG1,17.677886564201497,18.2507540534826,17.123000642110092,0.9686112975057168
FBXO42,75.4314643613821,210.80733317582602,26.991024126075985,0.35782182348688846
SZRD1,53.983507625674804,122.45207579194401,23.79885417804418,0.44085416499918834
NECAP2,46.557963155144606,86.60029498841241,25.030445143932187,0.5376189903437893
NBPF1,145.17305900236502,1744.9457110406604,12.077864042850479,0.08319631842058049
CROCC,0.001,0.9182125183078829,1.089072496901739e-06,0.0010890724969017391
MFAP2,1.83612887523445,2.0766688835180998,1.6234505525783507,0.8841702641221505
ATP13A2,40.2279033109422,104.14199486432899,15.539208816796092,0.3862793617824309
SDHB,26.4313904937324,46.24715707688661,15.106191333463023,0.5715246550137084
PADI2,51.5199833770981,249.141729817062,10.653810139013851,0.20678985979156453
PADI1,0.001,0.0315768260946183,3.166879397579581e-05,0.03166879397579581
PADI3,0.156424908838632,0.025586361314145403,0.9563201193304028,6.113605092888007
PADI4,58.6710089489928,349.402972298949,9.851911872540036,0.1679178873692978
PADI6,0.0589350425145431,0.0302645147120615,0.11476606412614151,1.9473314895432758
RCC2,78.7807132794544,312.961309634327,19.83120786422878,0.25172668586894675
ARHGEF10L,8.76669828462611,3.6802892947113794,20.88286888862458,2.382067707890236
ACTL8,0.36234483830036,0.272427798446656,0.481939738130735,1.330058240628886
IGSF21,1.87169299805516,0.0001,35032.34678968713,18716.9299805516
KLHDC7A,0.489440565666577,0.253477585229673,0.9450621328231592,1.9309027471723024
